question;class
what techniques did frida kahlo use in her paintings?;LITERATURE
who does larry david play in seinfeld?;HUMAN
what type of government does israel?;POLITICS
where is downtown littleton?;LOC
what did shawnee smith star in?;MOVIE
what division is cincinnati bengals in?;COMPANY
where was toussaint charbonneau from?;LOC
what countries include western europe?;LOC
what timezone is new mexico currently in?;DATE-TIME
who is the current president of china 2010?;HUMAN
what did harriet beecher stowe do as an abolitionist?;['http://www.w3.org/2000/01/rdf-schema#Property']
in which province is pretoria?;LOC
what college did jerry rice attend?;LOC
who is liz lemon marrying on 30 rock?;ENTITY
what country did john cabot sail for?;LOC
when did mt st helens first erupt?;DATE-TIME
where did the name rome come from?;LOC
what time zone is fresno ca?;LOC
where did queen isabella live?;LOC
who played carl fredricksen in up?;ENTITY
where did robert pattinson go to acting school?;COMPANY
who won the super bowl xliv 2010?;ENTITY
what events caused roosevelt to become more of an internationalist?;DATE-TIME
what do the colors on mali's flag represent?;['common.topic', 'symbols.flag', 'user.skud.flags.topic']
when does school start in los angeles california 2011?;COMPANY
what did samuel de champlain?;HUMAN
what was william faulkner known for?;MOVIE
what language did the miwok indians speak?;LANG
who was audrey hepburn's husbands?;HUMAN
what do you want from me jerrod niemann lyrics meaning?;ENTITY
what did robert koch do?;HUMAN
who does cristiano ronaldo play for?;SPORTS
what currency is best to take to dominican republic?;CURRENCY
who is lleyton hewitt?;HUMAN
what movies did quentin tarantino star in?;MOVIE
what language does the new zealand speak?;LANG
what kind of drugs does charlie sheen do?;['common.topic', 'music.release_track']
who is clint eastwood dating?;HUMAN
what county is sacramento located in?;LOC
what did audrey hepburn died of?;HUMAN
what is st mary mascot?;LOC
who was irving berlin and what did he do?;HUMAN
who shot j lennon?;HUMAN
what happened during william henry harrison presidency?;DATE-TIME
where did sir ernest shackleton live?;LOC
what type of music is scott joplin?;MUSIC
where did the welsh language originate from?;LOC
who does leia think her father is?;MOVIE
who did alf's voice?;HUMAN
what was theodore roosevelt's political party?;COMPANY
what year were the cincinnati reds founded?;DATE
where is kia cars made?;ENTITY
what magazine did edgar allan poe work for?;['common.topic', 'base.type_ontology.inanimate', 'projects.project_focus', 'base.edgarpoe.topic']
where are sunbeam appliances made?;LOC
where did chickasaw indians live?;HUMAN
what music did antonio vivaldi compose?;MUSIC
who plays batman in 2012?;ENTITY
what is the timezone in vancouver?;LOC
what time is world cup soccer?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'base.type_ontology.inanimate', 'freebase.unit_profile', 'time_series.unit', 'type.unit', 'measurement_unit.unit_of_frequency', 'user.gogza.default_domain.recurring_period']
what did ronnie radke do?;['common.topic', 'common.document', 'freebase.query']
where does selena gomez live right now 2010?;ENTITY
who is the member of rajya sabha?;ENTITY
what form of government does czech republic have?;POLITICS
what movies has renee zellweger been in?;MOVIE
what other writers influenced charles dickens?;ENTITY
where jay z was raised?;LOC
where did the assyrian empire start?;LOC
what currency does the dominican republic?;CURRENCY
what is daniel radcliffe name in the woman in black?;MOVIE
what money do they use in thailand?;CURRENCY
where does avril lavigne live now?;LOC
who plays stewie griffin's voice family guy?;ENTITY
what should i see in london england?;LOC
what currency is used in england 2012?;CURRENCY
where did paul rudd go to high school?;COMPANY
what gauge strings john mayer?;None
what was abe lincoln shot with?;COMPANY
what did regina hall play in?;MOVIE
what book did jacob riis wrote?;None
what airport is close to scottsdale arizona?;LOC
who plays noah bennet?;ENTITY
who won american idol 2006 season 5?;ENTITY
what to see in vietnam in two weeks?;['common.topic', 'music.release_track']
where do the chicago cubs play?;LOC
where did reagan die?;LOC
what is the language used in indonesia?;LANG
what was irving langmuir famous for?;ENTITY
what are the traditions in jamaica?;HUMAN
what is the official language of china called?;None
where is the gulf of st lawrence river?;LOC
what was the name of martin luther king jr parents?;HUMAN
what money does guatemala use?;CURRENCY
who was president when nelson rockefeller was vice president?;ENTITY
what did freud say about women?;LITERATURE
who plays young john winchester in supernatural?;HUMAN
who killed vincent chin film?;HUMAN
what region is manchester england?;LOC
where was the gettysburg war located?;LOC
what do people go to amsterdam for?;LOC
who is the elected governor of california?;HUMAN
what year did john glenn walk on the moon?;DATE-TIME
what currency to take to side turkey?;CURRENCY
who founded the new democratic party?;HUMAN
what were the causes of the russian revolution in 1917?;DATE-TIME
what does julian clary do?;HUMAN
where does the potomac river flow into?;LOC
where is the olympic national park located?;LOC
when does the world cup occur?;DATE-TIME
where does danish language come from?;LOC
what countries are in the baltic region?;LOC
what nation did hitler lead?;LOC
when were women allowed to go to the olympics?;LITERATURE
what continent does the amazon river flow through?;LOC
what is a city in belgium?;LOC
who played elle greenaway?;HUMAN
who was andy williams second wife?;ENTITY
where are you from in egyptian arabic?;LOC
what did captain scott die of?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
where does the catholic church originated from?;HUMAN
what continent is belize located in?;LOC
who was donald duck's girlfriend?;TV
what party was winston churchill in politics?;COMPANY
what 4 teams did wayne gretzky play for?;SPORTS
what did taylor swift do at the vmas 2012?;ENTITY
who did russians descend from?;HUMAN
what to see and do in san diego california?;LOC
where's wayne state?;LOC
what dialect do most chinese speak?;['type.lang', 'base.cldrinfo.langinfo']
who is the president of cuba in 2009?;ENTITY
who does avril lavigne play in over the hedge?;MOVIE
where is the country of armenia?;LOC
who tom cruise been married to?;ENTITY
which country is gaza city located?;LOC
who is president of pakistan 2012?;HUMAN
what instrument did louis armstrong like to play?;MUSIC
what is the currency in germany in 2010?;CURRENCY
what types of government does china have?;POLITICS
where is the boeing company?;LOC
what are the two houses in congress?;COMPANY
what team does ladainian tomlinson play 4?;SPORTS
what is the major language spoken in canada?;LANG
what jamaican language called?;LANG
what planet was luke skywalker raised on?;['common.topic', 'music.release_track']
who did georgia o'keeffe inspired?;HUMAN
who does brandon jacobs play for?;ENTITY
who was queen elizabeth the first's mother?;HUMAN
who is the leader of the dominican republic 2011?;HUMAN
where did the anglican church start?;LOC
who does obama look up to?;HUMAN
who played heath barkley?;ENTITY
what year did baltimore ravens win the superbowl?;DATE
what is the name of the money used in spain?;CURRENCY
what did edward jenner do for a living?;['base.kwebbase.kwconnection']
what type of political system does north korea have?;POLITICS
when does ramadan end 2012 indonesia?;DATE-TIME
who will play clary in city of bones?;HUMAN
what year did edgar allan poe go to college?;DATE
where is amsterdam ohio?;LOC
who are the two current senators of illinois?;HUMAN
when did the orioles win the pennant?;DATE-TIME
what 3 countries does mexico border?;LOC
who played giles on buffy the vampire slayer?;HUMAN
what teams are in the american league west?;SPORTS
what books did robert burns wrote?;LITERATURE
who owns chrysler corporation 2012?;HUMAN
what are the name of mitt romney sons?;HUMAN
what was the cause of death of larry hagman?;HUMAN
what is the rainforest in south america called?;None
how many major dialects are there in china?;LANG
in which country is mount everest found?;LOC
what form of government does germany use?;POLITICS
what language do haitian speak?;LANG
who is nick grimshaw?;HUMAN
what did florence sabin do?;HUMAN
who played betty rizzo in grease?;ENTITY
when did sherlock holmes live?;SCIENCE
where did audie murphy grow up?;LOC
what school does bart simpson go to?;COMPANY
where is mark sanchez now?;ENTITY
what year did kobe bryant go to high school?;DATE
where is okemos michigan?;LOC
where did caroline kennedy go to school?;ENTITY
what type of government is the us government?;POLITICS
who is the ravens coach?;ENTITY
what college did ron jaworski go to?;LOC
what team does allen iverson play for now?;ENTITY
what years did the atlanta braves win the world series?;DATE-TIME
when does school start in hillsborough county?;LOC
where did jfk and his wife live?;LOC
what are the basic beliefs of islam religion?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
where does sam shepard live?;LOC
in what state was the air force academy established?;LOC
where did the battle of the alamo start?;LOC
what do barack obama do as a president?;LITERATURE
what currency should i bring to italy?;CURRENCY
what years did the orioles play in the world series?;DATE-TIME
what does the roman empire consist of?;LOC
what did fred goodwin do?;HUMAN
what is the economy of china?;POLITICS
who is marilyn monroe and why is she famous?;HUMAN
where is port charlotte florida located?;LOC
who is reba mcentire's son?;HUMAN
who helped form the american federation of labor?;HUMAN
who did julie andrews play in shrek?;MOVIE
what songs did whitney houston?;['common.topic', 'music.release_track']
what does canada export and import the most?;LITERATURE
what episode does eric northman come in?;TV
what was elijah mccoy famous for?;['http://www.w3.org/2000/01/rdf-schema#Class', 'freebase.type_profile']
who did john paul jones fight for?;LITERATURE
where was brad paisley born and raised?;LOC
what is charlotte north carolina known for?;LOC
where is glastonbury connecticut?;LOC
what is george washington's hometown?;LOC
what characters does seth macfarlane play in family guy?;HUMAN
what airport fly into miami?;LOC
what year did steve nash play for the mavericks?;DATE
what book did charles darwin write on evolution?;LITERATURE
what are all songs by taylor swift?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
what instruments does katy perry play?;LITERATURE
who was francis drake married to?;HUMAN
where does don king live?;LOC
when was tom brady first superbowl win?;TV
who did deborah sampson married?;HUMAN
what form of government does mexico?;POLITICS
what movies does nicole kidman star in?;LOC
who was michael jackson first girlfriend?;HUMAN
where to stay in san francisco ca?;LOC
what team does reggie bush play for 2011?;ENTITY
what money system does greece use?;CURRENCY
who played obi wan kenobi in phantom menace?;ENTITY
what is the newspaper in phoenix?;LITERATURE
who invented facebook wikipedia?;ENTITY
what country surrounds spain?;LOC
when and where was william shakespeare buried?;LOC
what type of tennis racket does john mcenroe use?;['common.topic', 'tennis.tennis_grip_style']
where is sony headquarters located?;LOC
who wore the darth vader suit in revenge of the sith?;ENTITY
what movies has scarlett johansson in?;MOVIE
where is alex rodriguez from?;LOC
who invented morse code?;HUMAN
what happened to adolf hitler at the end of the war?;COMPANY
what is the political system in england?;POLITICS
who was vice president under ronald reagan?;ENTITY
when did the chicago bulls win their first championship?;DATE-TIME
which four states touch mexico?;LOC
what did sammy davis jr die of?;HUMAN
what country did francis drake explored for?;LOC
what two countries share a border with the great lakes?;LOC
what year did dwayne wade came to the nba?;DATE
where is the dan patrick studio?;LOC
what do italy people eat for breakfast?;LITERATURE
what religion does tom cruise follow?;LITERATURE
what is the president of france's name?;HUMAN
what language do lakota indians speak?;LANG
where is the great pyramid of giza situated?;LOC
where is john deere made?;LOC
what money is used in the ukraine?;CURRENCY
where did ayn rand live?;ENTITY
what did charles lindbergh became famous for in the 1920s?;['common.topic', 'base.webvideo.internet_video_episode', 'base.webvideo.topic']
what influenced roy lichtenstein artwork?;ENTITY
what state did romney governor?;LOC
what movies does ryan gosling star in?;MOVIE
where is kentucky located?;LOC
where john tyler was born?;LOC
where the english came from?;LOC
when is next t20 world cup cricket?;DATE-TIME
what is the time zone in france?;DATE-TIME
what kind of economy was the soviet union?;POLITICS
what county is lancaster ca located in?;LOC
where is compaq laptops made?;LOC
what is the name of the bengals quarterback?;HUMAN
what job does janelle brown have?;HUMAN
what do michelle obama do for a living?;HUMAN
who does paul wesley play in 24?;MUSIC
what continent is australia in?;LOC
what is roshon fegan's heritage?;LITERATURE
what club does ronaldinho play for 2012?;None
what is the name of the sacred text of islam?;LITERATURE
where did richard nixon go to high school?;LOC
who stars in the movie fred claus?;HUMAN
where did madoff live?;LOC
what killed sammy davis jr?;HUMAN
where to hang out in chicago?;LOC
what are the best things to do in san diego?;LOC
who are the senators of kansas 2013?;HUMAN
what influenced jackson pollock's work?;HUMAN
what state was john adams elected from?;LOC
who played young sam winchester?;HUMAN
what songs did duane allman sing?;['common.topic', 'music.release_track']
who played darth vader in the original star wars movies?;HUMAN
when do we change the clocks in 2011 in australia?;COMPANY
who did scarlett johansson married?;ENTITY
what team did doug williams play for?;SPORTS
what are the different sports in the philippines?;SPORTS
who won the presidential race in venezuela?;HUMAN
what degree did martin luther king get?;EDUCATION
what type of music did vivaldi write?;MUSIC
what books has elie wiesel written?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
when did the boston celtics win their first championship?;DATE-TIME
what is the national anthem of russia?;MUSIC
what college did lee corso attend?;ENTITY
what films did liam neeson star in?;MOVIE
what are all the countries in nato?;LOC
what city are the swiss alps in?;LOC
what political party was adolf hitler from?;COMPANY
who did hermione granger marry?;TV
what areas did henry hudson discover?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
what does taiwan people speak?;LANG
what made angela davis famous?;HUMAN
what state is george washington university located in?;LOC
what is al in arabic names?;LITERATURE
where was governor cuomo born?;LOC
who are the judges of the supreme court?;ENTITY
who is the president of brazil now?;ENTITY
what money to take to sri lanka?;CURRENCY
what year did the mets win their first world series?;DATE-TIME
who was leonardo da vinci teacher?;HUMAN
where did newt gingrich attend college?;ENTITY
where did joe namath attend college?;LOC
what city is purdue university located?;LOC
what language does people in thailand speak?;LANG
what does beth tweddle compete in?;SPORTS
what airport is closest to downtown toronto?;LOC
what did emily bronte died of?;HUMAN
what to do around krabi thailand?;LOC
who is playing bilbo in the hobbit movie?;HUMAN
what else is there in orlando besides disney?;LOC
when did kennedy get elected?;DATE-TIME
what kind of currency do they use in thailand?;CURRENCY
what time zone is birmingham england?;TV
what does andy warhol do?;HUMAN
where is colombia the country?;LOC
who does jodelle ferland play in eclipse?;MOVIE
what countries did mother teresa work in?;LOC
what timezone is nevada in right now?;DATE-TIME
what team did deion sanders play for in baseball?;ENTITY
who invented the ford motor company?;ENTITY
what is ayrton senna?;None
where was stephen g. breyer born?;LOC
what films have taylor lautner starred in?;MOVIE
who played elaine on doc martin?;HUMAN
what religion is sammy davis jr?;LITERATURE
what airport does southwest fly to in denver?;LOC
who started google?;ENTITY
where kurdish people from?;LOC
where did harrison ford get his start?;MOVIE
what year did arizona diamondbacks win the world series?;DATE-TIME
where was jesus born and raised?;ENTITY
what money is used in ukraine?;CURRENCY
where is greyton western cape?;LOC
what is the buddhist holy book?;RELIGION
what is colorado's state flower?;LOC
who have the lakers signed?;ENTITY
who was phil harris married to?;HUMAN
which jane austen books are movies?;['common.topic', 'music.release_track']
where is lanzarote in a world map?;LOC
what year did lakers win their first championship?;DATE-TIME
what does mariah carey call her fans?;ENTITY
what happened to harvey smith?;HUMAN
what sports are played in canada?;SPORTS
who is the president of israel 2012?;ENTITY
who does northern ireland belong to?;LOC
who does allen iverson play for now 2010?;SPORTS
where did kirk herbstreit?;TV
where did american troops fight in ww1?;LITERATURE
what god does taoism believe in?;LITERATURE
what gunfight is wyatt earp most famous for?;COMPANY
what does the maine state flag look like?;ENTITY
what do mali people speak?;LANG
who is john garcia?;HUMAN
what do israeli people speak?;LANG
what year did george washington become the president?;DATE-TIME
what did lbj die of?;['base.skosbase.skos_concept']
what is the main language spoken in italy?;LANG
what does george soros believe?;LITERATURE
on which river is paris?;LOC
who was sam houston answers?;HUMAN
who is sherri shepherd's new husband?;HUMAN
what is the name of dawn french's first novel?;TV
who is the governor of california 2010?;ENTITY
which paris airport is closest to the city center?;LOC
where are dell products manufactured?;LOC
where does manny pacquiao live?;LOC
when were the duggar kids born?;LOC
where did pharaoh hatshepsut live?;DATE-TIME
what record label is rihanna signed to 2012?;COMPANY
who does sam bradford play for?;ENTITY
where did the seminole native americans live?;HUMAN
what county is plymouth ia in?;LOC
what school did kurt vonnegut go to?;LOC
what kind of biome is the everglades?;LITERATURE
where did henry hudson come from?;LOC
which continent is costa rica located?;LOC
where is tomb of allama iqbal?;LOC
who does the united states export the most to?;LOC
where is sony ericsson based?;LOC
what do you speak in singapore?;LANG
where is reggie bush from?;LOC
what has sara paxton been in?;MOVIE
what primary school did sir isaac newton go to?;COMPANY
which roman god goddess are you?;HUMAN
what countries does canada export wheat to?;LOC
what kind of economy does china has?;POLITICS
what is mexico city time zone?;LOC
who plays jacob black in the twilight movies?;ENTITY
who is the head coach of the indianapolis colts?;ENTITY
who is rob kardashian dating now 2012?;ENTITY
what is the syracuse university mascot?;MOVIE
where is augusta golf masters?;LOC
what government did japan have?;POLITICS
where does the shannon river end?;LOC
what countries does china border?;LOC
what university did donald trump graduate from?;LOC
what drug did mitch hedberg overdose on?;HUMAN
what were erik erikson's theories?;LITERATURE
what is british columbia?;['http://www.w3.org/2000/01/rdf-schema#Class']
what language do you speak in austria?;LANG
what does the philippines flag represent?;ENTITY
who was rosemary clooney married to?;HUMAN
who's the oakland raiders head coach?;HUMAN
where is portuguese language spoken?;LOC
who is married to garth brooks?;ENTITY
what political party was hitler the leader of?;COMPANY
who plays lois in family guy?;HUMAN
what state did dwight d. eisenhower live in?;LOC
what are 2 inventions benjamin franklin is credited with creating?;LITERATURE
what is vanderbilt university mascot?;None
what famous book did benjamin franklin wrote?;LITERATURE
what band does adam levine sing for?;ENTITY
where did brian williams go to college?;LOC
what country did truman lead?;LOC
what is language in argentina?;LANG
which island in greece?;LOC
who has won the most fa cup?;ENTITY
what time is in san diego california?;LOC
what landforms are found in italy?;LOC
when did hurricane irene hit ct?;DATE-TIME
who did michael jackson play in the wiz?;ENTITY
what drugs does charlie sheen do?;['common.topic', 'music.release_track']
what is the capital city of assyrian empire?;LOC
which countries speak english?;LOC
where did jerry spinelli go to college?;LOC
what is the zip code for cordova tn?;LOC
what is julia gillard party?;COMPANY
what is the origin of the turkish language?;LANG
what is isaac newton famous for?;HUMAN
who won the state of texas in 2008?;HUMAN
what is considered eastern canada?;LITERATURE
where did barack obama went to school?;LOC
who was the prime minister of canada in 1998?;HUMAN
what did ron howard direct?;COMPANY
what kind of alcohol is bacardi silver?;FOOD
who are shakespeare's siblings?;HUMAN
where do ba fly to from london city airport?;LOC
where does kaka live?;LOC
what is the predominant language in south africa?;LANG
where does the oklahoma city thunder practice?;LOC
what is the language called in turkey?;['type.content', 'common.image']
who was theodore roosevelt's vice president?;HUMAN
what college did charles richard drew go to?;LOC
what nationality is jermaine paul?;LOC
where did the oakland raiders move from?;LOC
who played nba last night?;SPORTS
who were mary shelley's parents?;HUMAN
what do do in new york?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'music.recording', 'music.single']
what are some of the religions in australia?;LITERATURE
what is the capital city of south carolina?;ENTITY
what language do they speak in indonesia?;LANG
what are some of the awards taylor swift has won?;ENTITY
what city did obama grow up in?;LOC
where did chris cuomo go?;LOC
what is there to do in palm springs?;['type.content', 'common.image']
where is auburn university at?;LOC
where was ronald reagan born and raised?;LOC
what county is morristown tn in?;LOC
who was the president of the united states during ww2?;ENTITY
who did elvis presley really love?;HUMAN
which states does the connecticut river flow through?;LOC
what are the biggest cities in illinois?;ENTITY
which province in canada is the most populated?;LOC
what continent do the falkland islands belong to?;LOC
what language do russian people speak?;LANG
which states touch canadian soil?;LOC
who has tim howard played for?;ENTITY
when is the gold cup cheltenham?;DATE-TIME
where does portuguese originate?;LOC
who did howie long married?;HUMAN
what region of the world is north america in?;LOC
who is the current governor of georgia 2011?;HUMAN
where do navajo indians live?;LOC
what instrument does ringo starr play?;MUSIC
who are china's trading partners?;LOC
what character did stan lee create?;HUMAN
what disease did anne frank get?;HUMAN
who did mario lopez just marry?;ENTITY
what happened to president james garfield?;DESCRIPTION
what time zone am i in missouri?;LOC
who is paul mccartney's current wife?;HUMAN
who did warren moon play for?;ENTITY
what brand of guitar does steve vai play?;COMPANY
what do hungarian people speak?;['type.lang', 'base.cldrinfo.langinfo']
in what town did ned kelly and his family grow up?;LOC
what is bethenny frankel husband name?;HUMAN
what city in australia should i live in quiz?;POLITICS
who is the present president of china?;HUMAN
who influenced arthur conan doyle?;HUMAN
when was samuel pepys?;LOC
what are the new york giants home colors?;ENTITY
who played bob ewell in to kill a mockingbird?;ENTITY
what instrument does fela kuti play?;MUSIC
who is kurt busch driving for now?;COMPANY
who was charlemagne's wife?;MOVIE
where did woodrow wilson go to school?;ENTITY
who is angelina jolie's husband?;ENTITY
what kind of money do they use in aruba?;CURRENCY
what sports do people in france play?;ENTITY
what language do native american indians speak?;LANG
where did tennessee williams live?;LOC
what was king louis xiv religion?;LITERATURE
what language do they in belgium?;LANG
where is port st lucie florida on the map?;LOC
what countries are the mediterranean?;LOC
what city has the largest population in mexico?;LOC
who juan ponce de leon?;HUMAN
what state is toronto in?;LOC
where to watch tv online for free in canada?;LOC
where did the loma prieta earthquake occur?;LOC
what is the state motto of massachusetts?;LOC
where did helen keller die?;LOC
who is the current president of chile 2011?;HUMAN
what would happen if the new madrid fault had an earthquake?;['common.topic', 'music.release_track']
what did jeff corwin major in?;HUMAN
where did johann sebastian bach live?;LOC
who did bynum get traded to?;LOC
what timezone is malaysia?;None
where was alice walker born?;LOC
what do they speak iceland?;LANG
who taught michelangelo to sculpt?;HUMAN
what wars have france been involved in?;DATE-TIME
when did joe mcelderry won x factor?;DATE-TIME
what is the major language of jamaica?;LANG
who was the members of blackstreet?;HUMAN
who did tebow get traded to?;ENTITY
who created the character of sherlock holmes?;HUMAN
what does scottish people speak?;LANG
who all has kim kardashian dated?;ENTITY
what instruments did vivaldi wrote concertos for?;LITERATURE
what book did john steinbeck wrote about the people in the dust bowl?;ENTITY
what land did god promise joshua?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'base.type_ontology.inanimate', 'music.album']
who is the voice of family guys meg griffin?;ENTITY
what countries did queen elizabeth i rule?;LOC
what channel is the mtv vma awards on?;ENTITY
what kind of currency does jamaica use?;CURRENCY
what type of government does the nigeria have?;POLITICS
what country was william shakespeare born?;LOC
where do they grow rice in italy?;LOC
where great britain on the world map?;LOC
what to see in dallas tx?;LOC
who did cristina yang's husband cheated on her with?;TV
who does jemaine clement play in despicable me?;MOVIE
what year did the vietnam war happen?;DATE-TIME
who inspired antonio vivaldi?;HUMAN
what type of currency is used in puerto rico?;CURRENCY
what is jackie kennedy famous for?;POLITICS
what currency is used in france before euro?;CURRENCY
what major landforms are located in egypt?;COMPANY
who played nba finals 2010?;ENTITY
what does the devil look like in young goodman brown?;TV
what state was ronald reagan governor of?;LOC
where was my honda motorcycle made?;LOC
what did isaac newton discovered as a mathematician?;['base.kwebbase.kwconnection']
what is st james palace?;['common.topic', 'music.release_track']
what airport to fly into to get to clearwater florida?;LOC
what currency do they use in qatar?;CURRENCY
what are fun things to do in denver colorado?;LOC
what did thoreau die from?;HUMAN
what do the symbols in the illinois flag represent?;LOC
what years did the red sox win the world series?;DATE-TIME
what war was woodrow wilson president for?;DATE-TIME
who is carl edwards racing for?;SPORTS
where are the florida marlins from?;LOC
what is the main religion in eastern europe?;MOVIE
what language does romanian people speak?;LANG
what date was john adams elected president?;POLITICS
what contribution did maurice wilkins make to dna?;ENTITY
what did george w bush do before becoming president?;POLITICS
which party was lincoln?;COMPANY
who are the two current illinois senators?;HUMAN
what were adolf hitler's parents names?;HUMAN
what did jordyn wieber win gold for?;None
what job does bill rancic have?;['http://www.w3.org/2000/01/rdf-schema#Property']
what does michael jackson like to eat?;LITERATURE
who owns the new england patriots football team?;ENTITY
where do the japanese live?;LOC
what is the dollar called in brazil?;CURRENCY
what has lucy hale played in?;MOVIE
who won 2011 heisman trophy?;ENTITY
who is the falcons kicker?;HUMAN
where did charles drew go to high school?;COMPANY
who won governor race in indiana?;HUMAN
what languages do people speak in egypt?;LANG
what college did florence griffith joyner attend?;LOC
what style of art did henri matisse use?;ART
who was reese witherspoon married too?;ENTITY
what is the isthmus of panama?;LOC
who is the coach of the la lakers?;ENTITY
what is illinois state flower called?;LOC
what books did mark twain read?;HUMAN
who plays miley cyrus brother?;HUMAN
what language do they speak thailand?;LANG
what is the san francisco giants mascot?;SPORTS
where was tupac born?;LOC
where is the main headquarters of the un?;ENTITY
what utc time zone is arizona?;DATE-TIME
who played elaine's boyfriend on seinfeld?;ENTITY
who did juan ponce de leon married?;HUMAN
what language do they speak in spain wikipedia?;LANG
where to watch live opening ceremony in london?;LOC
what did fred davis do?;['http://www.w3.org/2000/01/rdf-schema#Class']
what country was theodor schwann born in?;LOC
where is the fukushima daiichi located?;LOC
who plays claudia joy on army wives?;ENTITY
where did darfur happen?;LOC
what language does greece use?;LANG
what kind of money does argentina use?;CURRENCY
what hemisphere south america?;['common.topic', 'music.release_track']
what movies has taylor momsen been in?;MOVIE
what show was kim richards in as a child?;TV
what was henry ford best known for?;HUMAN
what education does jeff corwin have?;COMPANY
what movies has chris colfer been in?;MOVIE
where the queen of denmark lives?;LOC
what did roald dahl write?;LITERATURE
what county is troy il in?;LOC
what position does mitt romney hold?;POLITICS
who is country singer jewel married to?;ENTITY
what famous book did adam smith wrote?;LITERATURE
where does the appalachian trail run through?;LOC
where is burundi located on a map?;LOC
what year did mcfly go to the future?;TV
what clubs has messi played for?;SPORTS
where is merrell shoes headquarters?;LOC
who does the uk trade with?;LOC
what color are the baltimore ravens?;ART
who plays karen jackson on shameless?;HUMAN
what is tim tebow's religion?;LITERATURE
what country is singapore next to?;LOC
what year did detroit pistons win the championship?;DATE-TIME
who is ellen bernstein?;HUMAN
when are the australian open men's finals?;DATE-TIME
when was reagan inaugurated?;DATE-TIME
what kind of education did barack obama have?;LOC
what was the last time the pittsburgh pirates had a winning season?;DATE-TIME
what did james k polk believe in?;RELIGION
what currency does south africa have?;CURRENCY
what religions are recognized in canada?;LITERATURE
what airport is closest to cancun?;None
where is somalia located?;LOC
who played lex luthor in the original superman?;ENTITY
where was john f kennedy raised?;LOC
what does kat dennings star in?;MOVIE
what did henry kissinger do?;POLITICS
where does volga river start?;LOC
who does ryan newman race for?;COMPANY
what was the political system in libya?;POLITICS
who plays the voice of lois griffin on family guy?;HUMAN
what the currency in argentina?;CURRENCY
where does eddie bravo teach?;SPORTS
when did michael schumacher win his first title?;MUSIC
where does sally pearson live?;LOC
where is madeira?;LOC
what country is joseph prince from?;ENTITY
when did democritus discovered the atom?;SCIENCE
what do they speak in austria?;LANG
what things did thomas edison invent?;['common.topic', 'base.type_ontology.non_agent', 'music.release', 'media_common.creative_work']
where is the sistine chapel by michelangelo?;LOC
who has played edward quartermaine on general hospital?;ENTITY
what is the zip code for iselin nj?;LOC
what are fun things to do in philadelphia?;LOC
who does david carr play for?;SPORTS
where did jackie robinson go to school?;LOC
what strings does john mayer?;['common.topic', 'common.document', 'freebase.query']
who plays stacey in zoey 101?;ENTITY
when did sanchez leave usc?;DATE-TIME
who is steven seagal sister?;HUMAN
on what continent is canada found?;LOC
what is the primary language of israel?;LANG
who is married to jane krakowski?;HUMAN
what role did tom cruise play in endless love?;ENTITY
what city was ronald reagan born in?;LOC
what countries in the world speak arabic?;LOC
what 4 states border the pacific ocean?;LOC
what to do in nadi fiji?;LOC
when does medicare part d start?;COMPANY
what is the postcode for seoul south korea?;LOC
what type of government does the bahamas have?;POLITICS
where is bosnia?;LOC
what countries speak german as a first language?;LOC
where is amazon based out of?;LOC
what team did mike piazza retire with?;SPORTS
where did robert boyle study?;LOC
what is there to see near the grand canyon?;ENTITY
where does the fda get its authority?;COMPANY
where does hector camacho live?;LOC
what language do cyprus speak?;LANG
where does fabio aurelio play?;ENTITY
what war did george washington help win?;DATE-TIME
where does danny ainge live?;LOC
who plays young joe dirt?;ENTITY
what company did verizon used to be?;ENTITY
who was king tut's wife?;HUMAN
what are the kennedys?;ENTITY
where kurdish people come from?;LOC
where is sarajevo located?;LOC
what is the official language in china?;LANG
what teams are left in the nfl?;ENTITY
what art movement was pablo picasso part of?;['common.topic', 'base.type_ontology.non_agent', 'base.type_ontology.abstract', 'base.type_ontology.inanimate', 'music.album']
what type of business is mitt romney in?;['http://www.w3.org/2000/01/rdf-schema#Class']
what language do they speak in egyptian?;LANG
in what year did columbus sail to the new world?;MOVIE
what countries are included in the continent of asia?;LOC
who owns wikimedia foundation?;HUMAN
what war was george washington president during?;DATE-TIME
which airport do ba fly to in oslo?;LOC
what is there for kids to do in miami?;LOC
what country columbus was born?;LOC
what bella name her baby?;MOVIE
what is the houston rockets mascot?;HUMAN
what is there fun to do in san diego?;LOC
what movies johnny depp is in?;MOVIE
what countries did andy warhol work?;LOC
