question;label;suggested
What's a technology used in radiation therapy;ChemicalSubstance;Biomolecule
This is a treatment for the disease trichomoniasis.;ChemicalSubstance;Biomolecule
what treatment can be used for haemophilus infections?;ChemicalSubstance;Biomolecule
What is a treatment for bacterial pneumonia?;ChemicalSubstance;Biomolecule
what is a treatment for chronic mucocutaneous candidiasis?;ChemicalSubstance;Biomolecule
what is dr. fresh dailies travel;ChemicalSubstance;Food
which drug is used to treatment diabetic nephropathy;ChemicalSubstance;Biomolecule
what is the dosage form of hms;ChemicalSubstance;Food
What is the name of a drug from pregnancy category c (fda);ChemicalSubstance;Biomolecule
What is a treatment for juvenile idiopathic arthritis?;ChemicalSubstance;Biomolecule
what is a treatment for the disease atypical mycobacterium infections?;ChemicalSubstance;Biomolecule
What drug is prescribed to treat bacterial eye infections?;ChemicalSubstance;Biomolecule
what is used to treat copper toxicity;ChemicalSubstance;Biomolecule
what can be used to treat gastroenteritis;ChemicalSubstance;Biomolecule
What's a treatment for leukocytosis;ChemicalSubstance;Biomolecule
what is the treatment for paracoccidioidomycosis;ChemicalSubstance;Biomolecule
what is drug is used to treat rickettsiosis;ChemicalSubstance;Biomolecule
What is one effective treatment of giardiasis;ChemicalSubstance;Biomolecule
what do doctors prescribe for schizophrenia;ChemicalSubstance;Biomolecule
Name a medication used to treat a urinary tract infection.;ChemicalSubstance;Biomolecule
what's the stuff in muscle and joint roll-on 0.25/40 lotion that works;ChemicalSubstance;Food
what is the treatment for the disease  myocardial infarction;ChemicalSubstance;Biomolecule
What can help prevent coronary thrombosis;ChemicalSubstance;Biomolecule
What is a treatment for cyanosis;ChemicalSubstance;Biomolecule
what is the technical name for retrovir;ChemicalSubstance;Biomolecule
What is the name of a drug from the drug class beta2-adrenergic agonist;ChemicalSubstance;Biomolecule
who is the manufacturer of ambien 5 film coated tablet;ChemicalSubstance;AnatomicalStructure
what is a treatment for conduct disorder;ChemicalSubstance;Biomolecule
What is a treatment for drug-induced dyskinesia?;ChemicalSubstance;Biomolecule
What is the dosage form of laryng-o-jet?;ChemicalSubstance;Food
what is the prescribed treatment for diabetic neuropathy;ChemicalSubstance;Biomolecule
What type of game is birds of prey;Device;Activity
what is a treatment for myocardial ischemia?;Device;Biomolecule
what type of disaster was the  glenanne barracks bombing;Device;MeanOfTransportation
What game platform is china warrior played on?;Device;Work
What is the subject of the film lost highway (film)?;Device;Event
what game method has emotion engine;Device;Work
what is the game version of winter games;Device;Work
which version is mortal kombat ii;Device;Work
what type of disaster is rfa fort victoria bombing;Device;MeanOfTransportation
what was written in more, now, again: a memoir of addiction;Disease;Work
where does tabes dorsalis come from;Disease;Place
what genre is the broadcast new york times: advertising spotlight;Disease;TopicalConcept
what kind of lava flowing mountain is mount lamington;Disease;Work
what type of mountain is ostry;Disease;Place
What kind of a mountain is las pilas;Disease;MeanOfTransportation
what type of mountain us mount ontake?;Disease;MeanOfTransportation
what was the subject of the documentary capturing the friedmans?;Disease;Activity
what is the topic of folkways;Disease;Work
what is the subject of dantes peak?;Disease;Place
what geographical feature is kamakou?;Disease;Place
WHat's a sector of de la salle-college of saint benilde;Disease;AnatomicalStructure
what is the mountain type of koshelev;Disease;Place
where did the shahins invasion of asia minor take place;Disease;Place
What type of a mountain is ollag��e;Disease;Work
what is jonathan togo's nationality?;EthnicGroup;Place
Which country is kim sa-rang from?;EthnicGroup;Place
what religion does peter popoff follow?;EthnicGroup;Food
what subject did the film missile to the moon focus on;EthnicGroup;Work
in what topic gallery does sursen appear;EthnicGroup;Work
what eastern religion does noah levine practice;EthnicGroup;Food
What religion does master mathan practice;EthnicGroup;Food
who was involved in the siege of inverness;EthnicGroup;Place
what religion does shawon practice?;EthnicGroup;Food
what religion does meg christian practice?;EthnicGroup;Food
whats john hannah's nationality;EthnicGroup;Place
what is the topic of the book frank and maisie?;EthnicGroup;Place
What was the man of laws prologue and tale written about?;EthnicGroup;Place
what nationality is richard holloway?;EthnicGroup;Place
what kind of music does catherine ribeiro + alpes perform;EthnicGroup;TopicalConcept
what's cedric ball's nationality;EthnicGroup;Place
What genre of music is maldoror?;EthnicGroup;TopicalConcept
Which subject is focused on in the mind of the maker;EthnicGroup;AnatomicalStructure
what religion does ernestine anderson subscribe to;EthnicGroup;Food
srikanth represents what nationality?;EthnicGroup;Place
what is the topic of along the hudson and mohawk;EthnicGroup;Activity
What kind of music does ron geesin make?;EthnicGroup;TopicalConcept
What religion does jack kornfield believe in;EthnicGroup;Food
which religion is jackie chan;EthnicGroup;Food
What is the subject of a gift for new parents?;EthnicGroup;Place
What is the music genre of the album humpty dumpty lsd?;EthnicGroup;TopicalConcept
what type of religion does maxwell frazer practice;EthnicGroup;Food
what religion is michael villines;EthnicGroup;Food
What is the topic of the magazine the bible���what is its message?;EthnicGroup;Work
Which genre of music is on the album cobra;EthnicGroup;TopicalConcept
which religion does charles proteus steinmetz practice;EthnicGroup;Food
What is christy carlson romano's nationality?;EthnicGroup;Place
what religion does linus pauling follow?;EthnicGroup;Food
what did robert docking participate in?;Event;Work
Which entity is involved in battle of alasay?;Event;Place
what is an instance of the cannes film festival;Event;Work
where did the admiralty islands campaign take place;Event;Place
Where did the mens 50km walk take place?;Event;Place
Where did neil primrose pass away?;Event;Place
Where did operation veritable take place;Event;Place
where was the film amu  shown;Event;Place
What theatre of conflict occured in central europe?;Event;Place
What cellular system does the htc touch hd use;Event;Device
What is the film el ��ngel de budapest about?;Event;Work
what is the man who never was film about;Event;Work
what's one tournament that had a girls' tennis, doubles bracket;Event;Activity
what is the blazing angels game about;Event;Work
what is the film 1969 about;Event;Work
what is alexis rockman about;Food;Work
what book does daniel appear in?;Food;Work
what is gene marshall about?;Food;Work
what book deals with the subject of conquering the fear of death;Food;Work
what cult is the the art of war book  about;Food;Work
what genre is winter;MeanOfTransportation;TopicalConcept
what is the subject of the wild?;MeanOfTransportation;AnatomicalStructure
What genre is between sundays;MeanOfTransportation;TopicalConcept
What genre does the sister fall into;MeanOfTransportation;TopicalConcept
What is osceola national forest protected by?;MeanOfTransportation;Place
what genre is amor en directo/ popped;MeanOfTransportation;TopicalConcept
what is the subject of gone in sixty seconds;MeanOfTransportation;AnatomicalStructure
which genre does the white mice fall under;MeanOfTransportation;TopicalConcept
What genre is seven brothers?;MeanOfTransportation;TopicalConcept
what is the parent rock of diabase;MeanOfTransportation;AnatomicalStructure
what is a symptom of  pectus excavatum;MeanOfTransportation;Work
What type of food is total raisin bran;Species;Food
which ingredients are found in arnicare;Species;ChemicalSubstance
what is the active ingredient in hemorrhoid control?;Species;ChemicalSubstance
What is an ingredient of veganism?;Species;Food
What is an active ingredient found in lym d?;Species;ChemicalSubstance
What's an instrument that danny moss plays;Species;AnatomicalStructure
what is the active ingredient in hgh plus igf 1and igf 2?;Species;ChemicalSubstance
What's an active ingredient in acneforce;Species;ChemicalSubstance
who was the main character in seabiscuit (film);Species;Agent
what is the active ingredient in plantain spruce cough?;Species;ChemicalSubstance
What's the active ingredient in nans healing;Species;ChemicalSubstance
what is the active ingredient of quahog 50 injectable solution?;Species;ChemicalSubstance
what is caused by septic arthritis?;Species;Disease
What's the active ingredient in date 50 injectable solution;Species;ChemicalSubstance
What ingredient is in the dish huevos rancheros?;Species;Food
what is an active ingredient in attention plus;Species;ChemicalSubstance
What is an active ingredient of aconite;Species;ChemicalSubstance
what is an ingredient in aspergillus flavus 0.05 injectable solution;Species;ChemicalSubstance
what instrument does alain johannes know how to play?;Species;AnatomicalStructure
what is the active ingredient in a mold mixture;Species;ChemicalSubstance
who owns the newspaper called the press;Species;Agent
what instrument does bob wilber play;Species;Agent
what ingredients is contained by guna-kidney;Species;ChemicalSubstance
What is the media used to produce the the endless column;Species;AnatomicalStructure
"What does the quote arrows are cheap; you���re expensive. relate to?";Species;AnatomicalStructure
What is a cause of the disease bacterial gastroenteritis;Species;Disease
what does cervarix prevent;Species;Disease
what is the active ingredient in acne;Species;ChemicalSubstance
what is the active ingredient in neuroforce;Species;ChemicalSubstance
What is an active ingredient moiety of bac (gd);Species;ChemicalSubstance
What food can be a part of a gluten-free diet;Species;Food
what is the active ingredient of trauma drama?;Species;AnatomicalStructure
what was fantasy released on;Species;Work
what is the active ingredient moieties in irritated eye relief;Species;ChemicalSubstance
What is an active ingredient in diarrhea complex?;Species;ChemicalSubstance
What's a typical ingredient used in american food;Species;Food
What album contains the track space dog;Species;Work
What is the active ingredient in adrenapar;Species;ChemicalSubstance
what active ingredient is found in guna-sleep;Species;ChemicalSubstance
what is an active ingredient of parasite detox;Species;ChemicalSubstance
what music does sanctus real perform?;TopicalConcept;Work
what song is from the album bijelo dugme?;TopicalConcept;Work
how was the right thing released;TopicalConcept;Work
What music format was pomp and circumstances released as;TopicalConcept;Work
What is josh wills known for?;TopicalConcept;Work
what is the topic of the piece bat chain puller;TopicalConcept;AnatomicalStructure
What would damiera be labeled?;TopicalConcept;MeanOfTransportation
what format is you could be happy?;TopicalConcept;Work
What was the music format of swanheart?;TopicalConcept;Work
what music does the cinematic orchestra perform?;TopicalConcept;Work
which musical drama does mike varney create;TopicalConcept;Work
what music is flip phillips known for?;TopicalConcept;Work
take me by the hand  was what music composition;TopicalConcept;Work
What is the artistic format of all around the world;TopicalConcept;Work
how was texas released;TopicalConcept;Work
what music does michael moon perform;TopicalConcept;Work
what composition is date rape (song);TopicalConcept;Work
is highly refined pirates a post-rock album;TopicalConcept;Work
What disease is included with anxiety disorder;TopicalConcept;Disease
What is the original soul of michael jackson's genre;TopicalConcept;Work
What is the composition of the song hero;TopicalConcept;Work
What genre did Jan Axel Blomberg perform?;TopicalConcept;Work
what is the subject of the book dream boogie?;TopicalConcept;Activity
what is the release format of ending theme;TopicalConcept;Work
what is the genre of little games?;TopicalConcept;Activity
what is the damage in your heart;TopicalConcept;Disease
what music is taylor james known for making;TopicalConcept;Work
what is success!;TopicalConcept;Agent
What is the musical composition for zero and blind terry?;TopicalConcept;Work
What was the subject content of the book hotel california;TopicalConcept;Work
How was a sacred heart released;TopicalConcept;Work
What genre of music would best describe Lucia's style?;TopicalConcept;Work
What art form does marcel janco use?;TopicalConcept;Work
in what automotive class is the hyundai santa fe;Work;MeanOfTransportation
what platform was im breathless released on?;Work;Device
who is the cvg developer of upl;Work;Device
who is the music contributor of they might be giants;Work;Agent
What gameplay options are available for the game sega superstars tennis;Work;Device
Who was xiu xiu named after?;Work;Agent
Who composed The Phantom of the Opera?;Work;Agent
who is the composer for the big bopper;Work;Agent
What kind of music is 1888?;Work;TopicalConcept
what are the locations where the kuomintang islamic insurgency in china took place in?;Work;Place
what type of music does mediterranean scene play;Work;TopicalConcept
which flavor does the cold and allergy childrens 1/2.5 liquid have;Work;Species
what species is cenobite;Work;Species
What gaming platform is call of duty: world at war available on;Work;Device
what platform is the game dark reign on?;Work;Device
which genre of music is dance music?;Work;TopicalConcept
who is the female cinematographer of sven nykvist?;Work;Agent
Maemo is based on what operating system?;Work;Device
which tablet computer games were released for the playstation vita?;Work;Device
where does the newspaper catania circulate;Work;Place
who did the film story credits for abhijat joshi;Work;Agent
what type of school type is central high school?;Work;Disease
What platform can you play pajama sam: games to play on any day on;Work;Device
who helped write the story for joann sfar?;Work;Agent
"What is the genre of music stefan \""d��d beverte\"" klein makes?";Work;TopicalConcept
what platform is master of orion played on;Work;Device
what is the subject of mates, dates, and sizzling summers;Work;Activity
in what platform does demigod game play;Work;Device
Which platform does the game house m.d. -- the game run on;Work;Device
what is the automotive class of tatra 87;Work;MeanOfTransportation
what platform is championship manager 5 played on;Work;Device
who produced the film harry saltzman;Work;Agent
who is the producer of gerry flahive;Work;Agent
what type of album is vertigo;Work;TopicalConcept
what fictional character lived in emerald town;Work;Agent
What is the subject of hometown diners?;Work;Activity
what is the subject of the oil-shales of the lothians;Work;AnatomicalStructure
Who created the show go nagai;Work;Agent
what is the automotive class that  infiniti ex belongs to;Work;Device
What is the automotive class of the infiniti qx70;Work;Device
Who directed the film art for narayana reddy;Work;Agent
What is the characteristic symptom of the disease cholera;Work;Disease
who is involved in atheism;Work;Agent
who recorded grey and black?;Work;Agent
Who produced william bast?;Work;Agent
who is the composer of dieter bohlen;Work;Agent
what kind of mountain is mount veniaminof?;Work;Place
what type of music is in these rusted veins categorized under;Work;TopicalConcept
which platforms were allegiance released in?;Work;Device
what near earth object is 206p/barnard���boattini classified as;Work;Place
who was the film producer for anatole dauman;Work;Agent
tecmo developed what computer videogame?;Work;Device
who wrote the lyrics for gary rossington;Work;Agent
who loves speed metal;Work;Agent
what mountain classification is robledo;Work;Place
what types of book is e-pr;Work;MeanOfTransportation
what was windows vista influenced by;Work;Device
What is the namesake of venus (mythology);Work;Agent
What is a geographical feature in lombardy;Work;Place
what platform is the game van buren played on;Work;Device
what kind of car is austin a40 devon;Work;MeanOfTransportation
Who is the director of the film hrishikesh mukherjee?;Work;Agent
which artist recorded detroit boogie?;Work;Agent
what operating system is used by microsoft;Work;Device
What genre of music does yuri shatunov produce;Work;TopicalConcept
what platform is tom clancys splinter cell: conviction played on?;Work;Device
What type of car is the toyota corona;Work;MeanOfTransportation
who is the film producer of nathan kahane;Work;Agent
who is the film director of the film mehmood?;Work;Agent
who provided the story for the film priyadarshan?;Work;Agent
Which platform is used for x-plane?;Work;Device
What type of industry is netlogic microsystems, inc.?;Work;Device
What kind of movie is sad and painful search: office lady essay;Work;TopicalConcept
who wrote the film ice cube;Work;Agent
What platform was softporn adventure released on?;Work;Device
what book genre is the end of work;Work;MeanOfTransportation
what genre is the album fears under?;Work;TopicalConcept
What platform does tanken driland run on?;Work;Device
is james van der zee, new york 1983 a photograph or sculpture;Work;TopicalConcept
What genre is the album year zero?;Work;TopicalConcept
what kind of medium was sifaka pair in tree created in;Work;Device
What kind of music is the album iii: odyssey of the mind?;Work;TopicalConcept
what types of album is post-grunge;Work;TopicalConcept
who is the creator of theo van de sande;Work;Agent
Which child actress was born in philadelphia?;Work;Agent
what kind of play is tartuffe;Work;TopicalConcept
Who wrote the lyrics for bobby caldwell?;Work;Agent
What country was the film living dolls: the making of a child beauty queen created in;Work;Place
Name an artist who has an album of the heavy metal genre.;Work;Agent
Which platform does the game crysis work on;Work;Device
what platform was cant stop the love released on?;Work;Device
what type of form was the lifetime of romance album produced?;Work;TopicalConcept
WHat genre is soulwax;Work;TopicalConcept
What platform was nexus: the kingdom of the winds released in?;Work;Device
What type of celestial object is comet mcnaught-hartley?;Work;AnatomicalStructure
where is romulus and remus from;Work;Place
how is the game hard to be a god played?;Work;Device
"What type of dish is ""the rickey""?";Work;Food
which platform is used for monkey island 2: lechucks revenge;Work;Device
what types of movie is juno (film);Work;TopicalConcept
what game engine does grand theft auto iv use?;Work;Device
what platform is needed to play reset generation;Work;Device
Which software is a video game console emulator?;Work;Device
Which platform does xpand rally operate on;Work;Device
who is a science fiction character created by suzanne collins;Work;Agent
What is the name of a british freestyle music singer?;Work;Agent
Who was the producer of andrew mason;Work;Agent
What platform was nature never produces the same beat twice released on;Work;Device
what type of work is james van der zee, new york 1983;Work;MeanOfTransportation
what is the subject of the lives of a cell: notes of a biology watcher?;Work;AnatomicalStructure
who produced tim bevan;Work;Agent
Who produced the film paul cox?;Work;Agent
which operating system does westward ii: heroes of the frontier run on;Work;Device
What is the automotive class of volvo 200 series?;Work;MeanOfTransportation
What type of release is bliss out, volume 10: taking care of you;Work;TopicalConcept
what platform was the game secret weapons over normandy played on;Work;Device
who is the parent property of bing xrank;Work;Device
what is the parent os of windows phone 7;Work;Device
what is the genre of the book the vision of the anointed;Work;MeanOfTransportation
What is the subject of invitation only?;Work;Activity
which platform is the game flick nba basketball on;Work;Device
Which platform is used for the game pac-man?;Work;Device
what kind of movie is drama;Work;TopicalConcept
Who is an author that has written a book about popular literature?;Work;Agent
Who was the composer of stone gossard?;Work;Agent
what platform was dragons gate released on;Work;Device
what platform is needed to play the game of life;Work;Device
who wrote the story to sajid?;Work;Agent
which medical specialty does cardiovascular disease fall under;Work;Food
what kinds of music is played by laibach (band);Work;TopicalConcept
which platform is used for total annihilation: battle tactics;Work;Device
what type of album is vulgar;Work;TopicalConcept
What genre is superpop venezuela?;Work;TopicalConcept
what platform is earthworm jim 2 on;Work;Device
what operating system is fate compatible with;Work;Device
which nintendo games were developed by tose co., ltd.?;Work;Device
